movies,full_situation
['Fight Club'],what do you like? it looked like the kind of movie i would like. Why did you recommend this movie? Why did you accept the movie? hey can you help me find a great movie to watch? RECOMMEND Fight Club i'm into comedy drama's. what your fav producer? This is a cult classic drama! ACCEPT. robert zemeckis. i have afew options for you alright lets see what you got.
"['Back to the Future Part II', 'Monsters, Inc.', 'Polytechnique', 'Fight Club', 'Alien']","RECOMMEND Polytechnique this si the aniimated movie i was talking about. It is a comedy also ok do you like animated movies? you would definitely like the sequel then ACCEPT. Not particularly but I did like Back to the Future that starred Michael J Fox. Sci-fi is great. Because I have liked thrillers and dramas in the past. RECOMMEND Back to the Future Part II here is a horror film you might enjoy I would love a movie recommendation. I really like comedy films. Why did you reject the movie? ACCEPT. RECOMMEND Monsters, Inc. is there anothe genre you like or maybe and actor or director REJECT. Why did you accept the movie? Why did you accept the movie? Why did you recommend this movie? Why did you recommend this movie? Why did you recommend this movie? I don't think this relates well to anything I've seen previously. I believe I would prefer something that has more comedy or one of my favorite actors or directors. Why did you recommend this movie? this is my last option for ya RECOMMEND Alien Why did you recommend this movie? Why did you reject the movie? ACCEPT. This movie relates to Tim Burton who does horror themed movies, and I am a science-fiction fan. I really liked the first movie in the series. Marty McFly is a hilarious character. Doc Brown's time machine is great too. I haven't been a fan of any animated movies in the past. you're a tough cookie. This one is probably considered a thriller. You might like this one REJECT. RECOMMEND Fight Club Why did you accept the movie? Well as I said I like comedies. I also like dramas and thrillers. Tim Burton and Christopher Nolan are great directors."
['Jurassic Park'],"RECOMMEND Jurassic Park Hi, I am a big fan of adventure themed films most of all! Also science fiction. But I'm open to some war epics and romance too. Why did you accept the movie? It is an action movie themed after dinosaurs with Speilberg as director! It seems to fit all your boxes. ACCEPT. How about directors? Spielburg! Do you have any favorite actors? Why did you recommend this movie? Unfortunately no one really stands out. I do like Tom Hanks, Gwyneth Paltrow, and Harrison Ford. Also foreign movies. A Speilberg movie that I'd enjoy!"
['Apollo 13'],Why did you recommend this movie? Something different featuring Tom Hanks. ACCEPT. Tom Hanks is a great actor and this movie is awesome. I could try it because of Tom Hanks. I like comedy drama. I like something Forest Gump movie. Why did you accept the movie? I would like to suggest  one from the 90's ... interested? RECOMMEND Apollo 13 shoot it right away..
"['Midnight in the Garden of Good and Evil', 'Airplane! (titled Flying High! in Australia, New Zealand, South Africa, Japan and the Philippines)']","That sounds like it could be up my alley. How about a movie based on a book that is a drama directed by Eastwood? Hi, can you please help me find a movie to watch? Why did you recommend this movie? Do you think you would like a movie based on a Stephen King novel? I like comedies, thrillers, and movies based on novels. Why did you recommend this movie? Why did you accept the movie? ACCEPT. you said you liked comedies RECOMMEND Midnight in the Garden of Good and Evil Why did you accept the movie? Hi, what kinds of movies do you like to watch I accepted this one because I like other movies from the 80s and I also like comedy. They said they might enjoy it Maybe but I'm not sure. ACCEPT. RECOMMEND Airplane! (titled Flying High! in Australia, New Zealand, South Africa, Japan and the Philippines) I accepted this one because it's based on a novel."
"['2 Days in Paris', 'Trainspotting', 'Lost in Translation']","I like early 2000s movies. I like the musical Once but also the romantic drama Leaving LAs Vegas. I like Selma Hayek and Antonio Banderas This is like Eternal Sunshine of the Spotless Mind. Why did you accept the movie? RECOMMEND 2 Days in Paris I have a bunch of good ones. You looking for any particular genre, actor, director? RECOMMEND Lost in Translation Why did you accept the movie? I think I like foreign movies. ACCEPT. ACCEPT. HI! I'm looking for a good movie. Any recommendations? I like foreign musicals. Why did you recommend this movie? Why did you recommend this movie? It's the only romantic drama I have to offer, and the seeker likes those. They said they liked foreign films. ACCEPT. They like foreign films, and dramas. This is a drama, and it has some foreign sounding people involved with it. Why did you accept the movie? RECOMMEND Trainspotting Why did you recommend this movie?"
['Goodfellas (styled as GoodFellas)'],RECOMMEND Goodfellas (styled as GoodFellas) I don't know anything with those actors but I do know a crime film you  may like i may have something for you. Do you like certain actors? ACCEPT. I've liked Tommy Lee and Guy Pearce in the past. this is a crime film Awesome! I do also like Quentin Tarantino and Christopher Nolan as directors. Why did you recommend this movie? I have liked crime movies in the past and I heard it's a classic! Hello! I am looking for a movie recommendation. I've liked crime and thriller movies in the past. Why did you accept the movie?
['Enemy at the Gates'],"War film with popular male actors, and female's in prominent parts ACCEPT. RECOMMEND Enemy at the Gates No, not really. I like Mel Gibson war movies if that helps at all Harrison Ford is good, Leo DiCaprio, and I like Jennifer Connelly I am interested in war movies. Any other actors you prefer? Why did you recommend this movie? Hello! I really like war movies and a little bit of action movies. Why did you accept the movie? Okay, is there a specific war-era that you prefer?"
"['Things Change', 'Fargo', 'Delicatessen']","I think you will like it because it is older I actually like that it is post-apocalyptic and it is one of the older films. expert Why did you recommend this movie? RECOMMEND Things Change It looks like something you might enjoy, it is an older Foreign film I would, yes. Do you think you would like a comedy? RECOMMEND Delicatessen ACCEPT. Hi. I like older style movies that have some type of crime involved. Why did you accept the movie? RECOMMEND Fargo expert I like the title and the dramatic type film, even though it isn't comedy. I like it. Why did you recommend this movie? Why did you accept the movie? ACCEPT. it's a comedy and I really enjoy the actors and their style. ACCEPT. Why did you accept the movie? Why did you recommend this movie?"
"['Clerks', 'Jurassic Park']","Why did you reject the movie? REJECT. RECOMMEND Jurassic Park RECOMMEND Clerks Why did you recommend this movie? ACCEPT. very funny, jay and silent bob are hilarious Hi, I'm looking for some movies!  I like comedies, I like them older than 1996. I also enjoy Oscar winning movies, ones with action too. Some of my favorite actors are Tom Hanks, Keanu Reeves, and John Cleese. I accepted this movie because it's a comedy set in 1994. Because it didn't fit. Why did you accept the movie? Why did you recommend this movie? jurassic park is a classic"
"['Being John Malkovich', 'Little Miss Sunshine']","Hey there I need help finding a good movie to watch, and I enjoy a variety of flicks. Okay, can you be a little more specific as to what type of movie you are looking for? Action, sci-fi, thriller, etc? Why did you recommend this movie? I didnt show a lot of sci fi flicks mainly comedy. REJECT. Why did you recommend this movie? It is a comedy from 1999 Why did you reject the movie? RECOMMEND Being John Malkovich Okay. Any other's you may be interested in? Why did you accept the movie? It is another comedy but has some drama in it from 2006. RECOMMEND Little Miss Sunshine I really love comedy of all different types and years. Its a comedy. The first movie I recommended was a comedy as well just to make you aware. No that is the one that is perfect. ACCEPT. I understand that. I seen that it said comedy, but it said fantasy and the list I have in front of me contains zero fantasy."
"['Carolina', 'Donnie Darko']","Why did you reject the movie? Why did you recommend this movie? Yes. Fantasy drama. RECOMMEND Carolina Why did you recommend this movie? drama fantasy REJECT. do you like fantasy or animation? It seems similar to Big Fish and Eternal Sunshine. Why did you accept the movie? ACCEPT. Its a romantic comedy, which fit. it's almost mid 2000's but it's romantic comedy Im looking for a movie. Mid 2000s movies, dramas, comedies RECOMMEND Donnie Darko"
"['Hoop Dreams', 'Rain Man', 'Phenomenon', 'Dances with Wolves', 'Toy Story']","Why did you accept the movie? Why did you recommend this movie? Why did you accept the movie? I haven't seen a romantic fantasy in a while. RECOMMEND Hoop Dreams I like comedy dramas. ACCEPT. RECOMMEND Phenomenon Why did you accept the movie? I like animation. A great pixar film that they would certainly enjoy. They sound interesting. Give them to me! It sounds promising. Why did you recommend this movie? Hey, wondering if you could help find a movie to watch I love pixar. Love all kinds really. Maybe something feel good? Why did you recommend this movie? ACCEPT. Perhaps something a bit more unique, something with Tom Cruise sound interesting? Why did you recommend this movie? Yea. What is there? A great Tom Cruise movie based on the life of Kim Peek. They said a romantic fantasy drama would also be appealing. Why did you accept the movie? Why did you accept the movie? RECOMMEND Toy Story Not a romantic fantasy, but it's a cult classic that I'm sure they'd love. How about a documentary focusing on the story of two high school students? Or maybe a romantic fantasy drama? I've heard of it before but haven't gotten around to watching it. RECOMMEND Rain Man A very down to earth documentary that will make you think. ACCEPT. Why did you recommend this movie? ACCEPT. Sure, what kind of genres do you like? Do you enjoy Toy Story or comedy-dramas for example? Maybe a documentary? ACCEPT. RECOMMEND Dances with Wolves"
"['American History X', 'Lost in Translation', 'Donnie Darko']","It is not comedy nor fantasy. Why did you recommend this movie? Why did you accept the movie? RECOMMEND American History X Why did you reject the movie? Why did you recommend this movie? RECOMMEND Lost in Translation It is a comedy. one of the best movie of hate crimes ACCEPT. ACCEPT. I would like either a comedy or fantasy genre film. RECOMMEND Donnie Darko No that it is. time travel movie, and it has pretty awesome ending Why did you recommend this movie? Why did you accept the movie? That could work. REJECT. Billy Murray acting in the was at his best and most controlled performance hope you enjoy the movie, or do you need any another recommendation? It is a fantasy movie. Sure i will suggest you to go for Lost in translation if its a comedy"
['Dead Man Walking'],"Hello! I am looking for a movie I really like 90's dramas. I also enjoy thrillers and mysteries during this era Not big on documentaries, but I like movies like Leaving Las Vegas and Forest Gump So you like well-known movies  most?> Because it fits the description. Why did you recommend this movie? ACCEPT. RECOMMEND Dead Man Walking Do you like any crime dramas? Documentaries? popular and 90s Yes! I like popular films Cool! Hope I can help. What kind of movies do you like? Why did you accept the movie?"
"['Pretty Woman', 'I.Q.', 'Something to Talk About', 'It Could Happen to You']","It sounds like it would be right up my alley. RECOMMEND Pretty Woman Why did you recommend this movie? I could go for a comedy as well. Why did you recommend this movie? It sounds like a good one for me to watch tonight. Why did you recommend this movie? I like romantic comedy movies, especially from the 1990s Why did you accept the movie? ACCEPT. ACCEPT. a comedy drama and comedy this should be the one any favorite genre Why did you recommend this movie? Why did you accept the movie? RECOMMEND Something to Talk About sounds like it has some drama to it I love movies made around 1993-1995. Why did you accept the movie? RECOMMEND I.Q. I like sports dramas and action. ACCEPT. maybe therre is something better here RECOMMEND It Could Happen to You All of my favorite movies are from the middle of the 1990s. comedy, last one that really fits ACCEPT. Why did you accept the movie?"
['American Beauty'],"Why did you recommend this movie? Absolutely! What are your preferences? ACCEPT. Why did you accept the movie? RECOMMEND American Beauty Can't wait to hear your recommendation :). Hello, do you have any good dramas you can recommend? I like mostly 90s American dramas. 90s American drama. Seems to fit perfectly with my previous movie likes. Awesome, I think I can find something for you."
"['L.A. Confidential (1990)', ""Cookie's Fortune""]",RECOMMEND L.A. Confidential (1990) Funny movie with a great cast and director. a decent comedy with a top director. great story Do you like horror? sounds interesting. not really but i like big directors like sam mendes or kevin smith. billy bob thorton from that time period Why did you accept the movie? Why did you accept the movie? ACCEPT. Why did you recommend this movie? Why did you recommend this movie? love 90s comedies. ACCEPT. Do you have a favorite actor? RECOMMEND Cookie's Fortune no not really maybe more like drama type movies like american beauty.. or comedies like chasing amy.. shakespeare love is good too
"['Blade Runner', ""Schindler's List""]","REJECT. RECOMMEND Schindler's List Why did you recommend this movie? Why did you reject the movie? RECOMMEND Blade Runner Why did you recommend this movie? Hi! I really like action films of all sorts of genres. Lots of action. Why did you accept the movie? Needs more action. Because the time period is right and it's the closest to action I can think of Modern-classic eras are really great... like 80s and 90s hits. ACCEPT. Because it's action, even though it doesn't say it is Okay, great. Let me think for a second and I'll get right back to you. Is there a particular time period you like?"
['Rain Man'],"Are the movies well known that you like? Meaning would you find them on Top 100 lists or something similar? I like comedy-drama yes, I like movies from around mid 80's into mid 90's. I will try my best. Can I find out what kind of movies that you like? Would you say you are comedy fan? Do you like any films that came out after 1999? yes I like kind of far out there movies as well like ET, men in black, back to the future, Armageddon type stuff. Why did you recommend this movie? RECOMMEND Rain Man I think this movie fits the profile that's been given to me so far. Hi there! I am looking to watch a new movie, can you suggest one to me? REJECT. I could not see myself getting into that. Why did you reject the movie?"
"['Shrek', ""Look Who's Talking Too"", 'Monty Python and the Holy Grail']","RECOMMEND Monty Python and the Holy Grail I do not want comedy. RECOMMEND Shrek I think yo umight like that movie Why did you reject the movie? REJECT. Why did you recommend this movie? Okay well, I guess I should start with my preferences. I'm into action adventure films, age doesn't really matter. Why did you recommend this movie? Why did you recommend this movie? this might fit that bill hello I am here to recommend a movie for you what about comedy? Why did you accept the movie? ACCEPT. It's not what I want. I really want movies with action and adventure. Stuff like Die Hard, Indian Jones, you know? RECOMMEND Look Who's Talking Too REJECT. Why did you reject the movie? how about this award winning animation Nah, not really into comedy, a little is fine but I'm mostly action-adventure. Lots of fighting, exploring new lands, that kind of thing. It has plenty of action and adventure. Hi."
"['Mr. Turner', 'North Country', 'Die Hard', 'Apollo 13', 'Indiana Jones and the Last Crusade']","ACCEPT. RECOMMEND North Country ACCEPT. I don't think I would enjoy this film either. I'm not into serious drama films. I think this has an element of science fiction to it so I would enjoy it. Why did you accept the movie? Hi, can you recommend any sci-fi or war films? Why did you reject the movie? because you'll never be satisfied RECOMMEND Mr. Turner Why did you recommend this movie? Why did you recommend this movie? Why did you reject the movie? REJECT. I don't really prefer historical or drama films at the moment. RECOMMEND Apollo 13 REJECT. RECOMMEND Indiana Jones and the Last Crusade Because it's super historical, lol Why did you accept the movie? Why did you reject the movie? Because there's only 2 options left Why did you recommend this movie? Why did you recommend this movie? it is a historical drama REJECT. Yes! I love these types of action films. Tom Hanks put son a great performance I am looking for a sci-fi style or war film at the moment. Why did you recommend this movie? RECOMMEND Die Hard"
['As Good as It Gets'],"I really enjoy 90s movies. Any recommendations? Why did you accept the movie? Sure, I have 3 mins to recommend one. What genre do you like? ACCEPT. Why did you recommend this movie? Seems okay to me. spielberg. comedy. do you like any actors or directors? comedy RECOMMEND As Good as It Gets"
"['Saving Private Ryan', ""Schindler's List""]","RECOMMEND Schindler's List this one is epic historical drama Why did you recommend this movie? Why did you recommend this movie? I enjoy war movies like Braveheart. RECOMMEND Saving Private Ryan ACCEPT. Why did you accept the movie? ACCEPT. I'm looking for a movie recommendation. I like films from the 90s, and I enjoy Quentin Tarantino's work. Why did you accept the movie? its an epic war movie, how about this one I sometimes enjoy an epic historical drama."
"['Hotel Rwanda', 'Lost in Translation']","RECOMMEND Lost in Translation Why did you accept the movie? Why did you recommend this movie? ACCEPT. I have a Clint Eastwood style movie that you might like. RECOMMEND Hotel Rwanda This is both a drama and a comedy! Very Eastwood-esque! ok, please show it to me Why did you recommend this movie? ACCEPT. Why did you accept the movie? sounds like it might be good. comedy and drama. Hi.  I like drama and comedy.  I like Clint Eastwood as both actor and director and producer"
"['Our Idiot Brother', 'Mean Girls', 'Knocked Up']","Females i guess, rom coms This is an epic comedy from Tina Fey Huge fan of Seth Rogan. Why did you recommend this movie? Looks interesting and has a great cast. Are you looking for more of a goofy comedy that would appeal to males, or one that would appeal to women more.  Also, do stoner comedies sound fun? Why did you accept the movie? It's a classic movie that i would watch. ACCEPT. ACCEPT. RECOMMEND Mean Girls RECOMMEND Our Idiot Brother Why did you accept the movie? This movie might not fit your interests, but the rest of the films are all pretty low-brow, like from Judd Aptow or people from SNL I am looking for a comedy. This is a little bit romantic.  But more goofy and stoner-oriented. ACCEPT. Why did you recommend this movie? Why did you accept the movie? RECOMMEND Knocked Up Why did you recommend this movie?"
"['Mr. Turner', 'Forrest Gump', 'Dances with Wolves', 'Glory Road', 'Wake in Fright (also known as Outback)']",do you have something thrilling with lots of action. Why did you recommend this movie? RECOMMEND Forrest Gump Why did you accept the movie? Interesting movie sure. It's a classic.  Also.  SHRIMP more drama than action. Sure do!  I have a few of them!  Can you elaborate? Why did you recommend this movie? new or old it doesn't matter. great drama and funny. REJECT. RECOMMEND Mr. Turner ACCEPT. RECOMMEND Wake in Fright (also known as Outback) Why did you recommend this movie? unfamiliar. Why did you reject the movie? yes. RECOMMEND Glory Road something with a strong male lead. REJECT. lol.  Do you like shrimp? Sports action with some drama what else do you have. RECOMMEND Dances with Wolves Why did you recommend this movie? Do you like sports? Good male lead with lots of action Why did you reject the movie? Interesting.  Let me think of another movie with lots of action! Why did you reject the movie? Thriller with action not enough action. Why did you reject the movie? REJECT. Why did you recommend this movie? REJECT.
"['Junebug', 'Heaven Knows, Mr. Allison', 'Good Will Hunting', 'Saving Private Ryan', 'Dances with Wolves']","I accepted this movie because it seems similar to some of the movies that I have seen in the past. ACCEPT. RECOMMEND Saving Private Ryan ACCEPT. What is something else that interests you? Do you like epic films? Why did you accept the movie? Is there a certain time period for filmmaking that you favor? Why did you recommend this movie? What kind of dramas are you interested in? It's the only one left. I love movies created in the mid 80s to late 90s. Why did you recommend this movie? Why did you accept the movie? I accepted this movie because it contains all of the aspects that my character was looking for. War, Action, and Drama. Do you like westerns or war movies? Ok. Is there anything more specific about those two that you like? Why did you accept the movie? ACCEPT. I picked this movie because my character enjoys drama films that deal with hardships. RECOMMEND Heaven Knows, Mr. Allison I accepted this movie because it shares similar attributes to Tombstone. I think that this movie would interest my persona since it is another popular western. I like disney films and I also like sci-fi. RECOMMEND Good Will Hunting I'm interested in dramas related to life-crisises. For example, I loved a drama movie about a man that dealt with a developmental disability. I also love drama movies about midlife crisises. Why did you recommend this movie? Why did you accept the movie? Why did you accept the movie? Why did you recommend this movie? RECOMMEND Junebug RECOMMEND Dances with Wolves ACCEPT. Hello, I am looking for a comedy or drama film. I accepted this movie because I love the actor Matt Damon. I also love American dramas. It is a good drama. Why did you recommend this movie? ACCEPT. Not really. I'm mainly interested in dramas, comedies, and science fiction. If I had to pick one genre, it would be drama. It seems like a drama and personal interest story. It is a comedy and a drama. I do. One of my favorite westerns was about events base in Tombstone, Arizona. This is a good western and drama."
"['Dead Man Walking', ""St. Elmo's Fire"", 'Heathers', 'Envy']","Hi, do you enjoy dark comedy? Excellent! I'm glad I was able to help you find something. Would you prefer a comedy set in a high school? Its a comedy film and I like lots of comedy films. Why did you recommend this movie? Why did you recommend this movie? Why did you accept the movie? It's a classic that combines elements of thrillers and crime dramas. It seemed to fit your preferences the best out of the films available. Why did you recommend this movie? ACCEPT. Hello movie recommender person.  I really like movies with elements of comeda and drama. Especially together. RECOMMEND Heathers It also fits your preferences fairly well, though it is set in a high school. If you're looking for a more serious comedy, I could recommend the film Envy, directed by Barry Levinson. I think we're out of choices now and this guy just  keeps randomly recommending things. Why did you accept the movie? You should try hitting the recommend button on the left instead of typing it into chat :). I like some dark movies but not necessarily with comedy.  I do tend to like comedy's of all sorts though. Its a comedy its also got dark elements, like leaving las vegas. More drama, less comedy. Coming of Age stories like this are usually good for at least an awkward laugh at youth angst's expense. Why did you accept the movie? RECOMMEND Dead Man Walking ACCEPT. ACCEPT. Please recommend another movie. I'm sure there are better choices out there. Why did you accept the movie? Why did you recommend this movie? RECOMMEND St. Elmo's Fire RECOMMEND Envy ACCEPT. I'd prefer something a little more serious."
"['Forrest Gump', 'Silkwood', 'Die Hard']","I dont think this is the type of movie I like. Why did you accept the movie? I like big box office hits. I like drama and a little action Why did you recommend this movie? REJECT. This is just the type of classic movie I like. RECOMMEND Die Hard ACCEPT. RECOMMEND Forrest Gump Can you help me find a movie? It was a big hit with action I like it. Why did you accept the movie? Big box office hit, drama and action. Sure, what kind of movies do you like? Why did you recommend this movie? Why did you recommend this movie? It is a very dramatic film and has a little action. Another drama with a little bit of action. ACCEPT. Why did you reject the movie? RECOMMEND Silkwood"
"['Harry Potter and the Chamber of Secrets', 'Megamind', 'Toy Story 3', 'Wreck-It Ralph']",ACCEPT. would you like another recommendation? ACCEPT. RECOMMEND Toy Story 3 this one has lots of fantasy aspects and the special effects are very good! Why did you recommend this movie? it has both fanatsy and animation i think it would be your best match! because it fits in with your preference for animated films. Why did you accept the movie? i like the toy story series. Why did you recommend this movie? RECOMMEND Harry Potter and the Chamber of Secrets Why did you recommend this movie? Why did you accept the movie? I like computer animated films. I like computer animated movies. I am glad you found that recommendation acceptable! I like computer animated movies. RECOMMEND Wreck-It Ralph yes please. ACCEPT. RECOMMEND Megamind Why did you accept the movie? Why did you recommend this movie? ACCEPT. could you suggest another movie. I also like fantasy movies I like the harry potter series. it is another good animated film! Why did you accept the movie?
"['Eternal Sunshine of the Spotless Mind', 'Amarcord']","hello what kind of movies do you have? Why did you recommend this movie? I like comedy-drama, and foreignfilms I think it hits the comedic, drama amd foreigh films aspects. ACCEPT. Why did you accept the movie? Do you like Jim Carrey in a serious role? RECOMMEND Amarcord more of a kevin spacey fan. Why did you accept the movie? RECOMMEND Eternal Sunshine of the Spotless Mind sounds like an interesting movie. it fits the style that goes with the movies I have liked. yes i like comedy-drama, american drama, and some american neonoir awesome! tell me more. Well I think I have one that would be perfect for you!! Why did you recommend this movie? I like Kevin Spacey too!! It's frustrating that he is getting a bad rap for being such a great actor!  I am not the biggest Jiom Carrey fan but this movie was a differfent role for him. I also have a film that may not be exactly those qualities but is quite good!  Do you like psychological movies that have a comedic side as well as twists? ACCEPT. Hey there!! I have a mixture of comedy, drama, psychological thrillers, and a crime thriller. What tickles your fancy the most?"
"['Trainspotting', 'Taxi Driver', 'Fight Club']","ACCEPT. I like 1990s black comedy crime, animated, fantasy comedy dramas, and neo noir mystery types Why did you accept the movie? Why did you accept the movie? RECOMMEND Taxi Driver i love crime comedy. I enjoy quentin tarantino. I love crime thrillers. ACCEPT. ACCEPT. Why did you recommend this movie? Can't go wrong with a classic. RECOMMEND Fight Club What about Martin Scorsese? I think he's on par with Tarintino. Why did you recommend this movie? Here is a comedy crime. Any favorite actor or director? Ok. Can you tell me a bit about your preferences? Here is a Martin Scorsese film. Why did you accept the movie? He is not bad, he makes genres I like Hello I am looking for a movie. RECOMMEND Trainspotting Why did you recommend this movie? I like quentin tarantino and andrew stanton. also low budget sci fi movies"
"['Knight Moves', 'Up', 'The Lego Movie (stylized as The LEGO Movie)', 'Toy Story', 'Turbo']","I do like action and adventure movies. Please help me narrow down your particular likes a little further. How do you feel about action, adventure ...? Why did you recommend this movie? It is a comedy made in the 2000s, is animated and contains action; several of the things you stated that you enjoy. Perhaps you would like this? Why did you recommend this movie? I think I would like this movie. Why did you accept the movie? Why did you accept the movie? Okay. Hello! I need a movie recommendation please! I really like comedies. I also like scifi, action, superhero, and documentaries Ok let me see. It contains comedy, a sci-fi superhero (of sorts) and action It contains comedy and  the plot centers around heroic deeds ACCEPT. RECOMMEND Turbo Why did you accept the movie? It contains more action and thrilling elements than the previous recommendations. Why did you recommend this movie? It's a comedy animation. Why did you recommend this movie? I prefer movies made in the 2000s. RECOMMEND Up ACCEPT. Okay. Lets see it ACCEPT. Hi there! Wow, thank you for the information. Let's see here...maybe you would like: RECOMMEND Knight Moves I like comedies made in the 2000s. This one is also very good. RECOMMEND The Lego Movie (stylized as The LEGO Movie) ACCEPT. ACCEPT. Why did you accept the movie? RECOMMEND Toy Story Why did you recommend this movie? I like animated movies and comedies. :)  If however, you are looking for a movie that will just make you feel good and all warm and cozy inside, I would highly recommend: Why did you accept the movie? I really like animated movies. It is from the 2000s and contains comedy and a heroic little character"
['Up'],"super hit animated movie Hi expert! I really like animated films! I also like comedy crimes and zombie-comedy Why did you accept the movie? ACCEPT. Why did you recommend this movie? This looks excellent as far as animated films go, and I have not seen it! RECOMMEND Up"
"['Monty Python and the Holy Grail', 'Die Hard']","Great movie but I'd prefer to watch one that I haven't seen, anything involving space maybe? I don't really know of any space movies.  Do you enjoy comedies? RECOMMEND Monty Python and the Holy Grail Why did you reject the movie? Hi I'm looking for action moves from around the 80s. I am done with the chat and clicked the 'Done' button, thank you! Die Hard is a real class and represents a key part of Bruce Willis' career.  Plus, it has a good combination of action and humor. I am done with the chat and clicked the 'Done' button, thank you! RECOMMEND Die Hard Why did you accept the movie? Why did you recommend this movie? Why did you recommend this movie? Because it's not a movie I'm interested in, you mentioned comedies what do you have in mind? ACCEPT. REJECT."
"['Pulp Fiction', 'L.A. Confidential (1990)']","Crime, action, comedy, a little bit of everything I think you might like! Hello I like drama and thrillers, especially crime thrillers.  I like Martin Scorsese. RECOMMEND Pulp Fiction ACCEPT. Do you like comedy at all, or strictly serious films? Why did you accept the movie? It has crime action and comedy. Here's a great crime thriller, also based off a novel! It is based on a book and it is a crime movie. Why did you recommend this movie? ACCEPT. I liked Goodfellas which was based on a book. I liked dazed and confused. Why did you recommend this movie? Oh, cool! Do you like films based on novels? RECOMMEND L.A. Confidential (1990) Why did you accept the movie?"
"['Gattaca', 'Aliens', 'Eternal Sunshine of the Spotless Mind', ""Don't Look Now"", 'Being John Malkovich']","So I have two recommendations left I think you would like.  You would rather watch a fantasy comedy-drama or a romantic science-fiction film? It's  a sci-fi thriller from the 80s. RECOMMEND Aliens Why did you accept the movie? I love thrillers from this time period. Why did you accept the movie? Perfect. I'm a huge Spielberg fan, if that helps. I like different types of movies, so I think I'll like this. ACCEPT. RECOMMEND Being John Malkovich RECOMMEND Gattaca ACCEPT. It's a fantasy comedy-drama. Why did you recommend this movie? It's a science fiction movie. It's the last and has to be the best one! Do you like comedies or romance? Why did you recommend this movie? Yes, I do like sci-fi movies! Great, I'd like to see your recommendation please! ACCEPT. It fits their preferences. RECOMMEND Eternal Sunshine of the Spotless Mind Great! Other than thrillers, I like drama and mystery. Let's try fantasy comedy-drama. Okay!  I have a good one for you! ACCEPT. It has the style and time period I like. Why did you accept the movie? Well, here's my last suggestion.  I hope you like it! Why did you recommend this movie? I really love movies from the 70's and 80's, specifically thrillers! Let's see if this sci-fi one interests you.  It has great actresses/actors in it. Why did you recommend this movie? Thanks! It's so difficult because I like so many types of movies, but this has to be the one! ACCEPT. Why did you recommend this movie? I have another thriller from the 70s for you. Why did you accept the movie? Ok! Are you in to science-fiction? Why did you accept the movie? It's the last of my suggestions. RECOMMEND Don't Look Now It's a genre I like as well as in the right time period."
"['Blade Runner', 'Save the Tiger', 'Memento']","I think it seems similar to fight club in a way. Why did you accept the movie? Why did you recommend this movie? I also like Martin Sheen and Robert Duvall if you have any movies similar to that. ACCEPT. RECOMMEND Blade Runner There seems to be more action in this movie. Why did you recommend this movie? RECOMMEND Memento Fantastic I like sci fi movies. Why did you recommend this movie? It seems like a war movie. ACCEPT. hello. I really like documentaries, war films, sci-fi, and romance films. I like a lot of pre 2010 movies. I like movies with brad pitt in them and directed by charlie kaufman This seems more their pace. Why did you accept the movie? Edward Norton, Helena Carter, Jim Carrey and Elijah wood RECOMMEND Save the Tiger Are there any other actors you enjoy? It is pre 2010 and involves conflict that this person may enjoy. ACCEPT. Why did you accept the movie?"
['Braveheart'],"Why did you recommend this movie? So if it had something to do with kings and Queens with Mel Gibson or more like an American drama with Matt Damon and Robin Williams? Why did you accept the movie? Kings and Queens sounds great. I like epic historical dramas set in the 18th-20th century. Both, but particularly American historical dramas. Hi, how are you today? I would like you to recommend some movies for me. I like historical dramas and comedy. I particularly like movies for the 1980s and 1990s. Looks like the perfect suggestion for the historical dramas I like. I'm great! I think I can find you something. When you say historical dramas do you prefer American dramas or more like war dramas? it's a war drama from the 90s RECOMMEND Braveheart ACCEPT."
"[""National Lampoon's Animal House"", ""Ferris Bueller's Day Off""]","Animal House is a classic! Why did you accept the movie? Why did you recommend this movie? Ready for it! Hit me with them! I love western and british comedies, like monty python and movies directed by mel brooks. Hi there! I really like comedy, drama, fantasy, and war films. Harry Potter films are one of my favorites as are some movies directed by Steven Spielberg. RECOMMEND National Lampoon's Animal House This is similar to monty python and is a comedy. I have another winner ... are you ready? ACCEPT. Great. I have some good comedies to recommend. Why did you recommend this movie? Why did you accept the movie? RECOMMEND Ferris Bueller's Day Off This movie is hilarious! ACCEPT. I accepted this movie because it is an older movie and is a comedy film."
"['Aliens', 'Lassie']","How about something directed by Steven Spielberg. Adventure. Why did you accept the movie? RECOMMEND Aliens Okay, Great. I really do not have a favorite year Why did you accept the movie? Why did you recommend this movie? Because it seemed like I like Alien. ACCEPT. I will try a horror, Hi, I am hoping you can recommend a good movie for me Why did you recommend this movie? I don't have anything directed by Steven Spielberg but I do have an adventure family move from 1994 It seemed like an okay choice since it seems like I really do not have a perference. What types of movies do you like? They wanted to try a horror film and this is a great one RECOMMEND Lassie ACCEPT. Do you like any certain actor or from any certain years? They were looking for an adventure movie and this seems like it might work How about a drama or a horror film?"
